Title,Period,Country,Classification
"Horizontal Panel with a View of Decorative Flowers in an Oval Frame, Between a Two-Layered Horizontal Band",Date Unknown,Null,Drawings
Horizontal Panel with a Pattern of Five-Petalled Purple Flowers Surrounded by Black Linework,Date Unknown,Null,Drawings
Symmetrical Panel with Three Fan-Shaped Flowers and an Ornamental Band in Yellow and Green,Date Unknown,Null,Drawings
"Vertical Panel with a Repetitive Pattern of Groupings of Decorative Flowers, Forming Rows Connected by Vines",Date Unknown,Null,Drawings
Horizontal Panel with Pattern of Decorative Flowers in a Geometric Vases Alternating with Sections of Fence,Date Unknown,Null,Drawings
"Horizontal Panel with Green Lines Forming V-Shaped Areas Filled with Decorative Flowers in Blue, Red and Yellow, Combined with Green and Yellow Latticework Above",Date Unknown,Null,Drawings
Repetitive Pattern with Yellow Petalled Flowers and Alternating Orange and Green Vertical Stripes in the Background,Date Unknown,Null,Drawings
Incense Burner in the Shape of a Melon with Autumn Flowers and Grasses,17th - 19th Century,Japan,Lacquer
Vase decorated with flowers of the four seasons,17th Century,China,Ceramics
Birds and Flowers,14th - 20th Century,Korea,Paintings
Birds and Flowers of the Twelve Months with Chinese Calligraphy,14th - 16th Century,Japan,Paintings
Writing Box with Yellow Rose Flowers and Rushing Stream,17th - 19th Century,Japan,Lacquer
"Ashoka Tree Flower, Leaves, Pod, and Seed",Date Unknown,India,Codices
Birds and Flowers,17th - 19th Century,Japan,Paintings
"(Maquette for) ""Flower Fountain""",Date Unknown,Null,Sculpture
Broken Flowers and Grass,Date Unknown,Null,Drawings
"Textile Design with Round Dotted Frames with Bundles of Stylized Flowers and Small Flowers, Flower Buds and Branches with Leaves",Date Unknown,Null,Drawings
Flowers in a Blue Vase,Date Unknown,Null,Paintings
"Album Page with Decoupe Vase of Flowers, Insects, and Birds",Date Unknown,India,Codices
"Pink and white flowers, bakery card from the Picture Cards series (D63), issued by The Heissler & Junge Company",Date Unknown,Null,Prints
"Kimono with Design of Lilies, Chinese Bellflowers, and Pinks",20th Century,Japan,Textiles
Textile Design with a Floral Design of White and Brown Stylized Flowers and Flower Buds Over a Yellow Background,Date Unknown,Null,Drawings
Cotton Tree Flowers,Date Unknown,India,Codices
"Still Life with Flowers, Fan, and Pearls",Date Unknown,Null,Paintings
"Textile Design with Small Stylized Flowers and Flower Buds of Red, White and Dark Blue Color over a Light Blue Ground",Date Unknown,Null,Drawings
Textile Panel with Birds amid Flowering Vines,Date Unknown,Iran,Textiles
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (7)",Date Unknown,Null,Prints
Winter Flowers,14th - 17th Century,China,Textiles
Flowers and Goldfish,17th - 19th Century,Japan,Paintings
Basket of flowers with garlands,Date Unknown,Null,Paintings
[Nude Draped with Cloth Surrounded by Flowers],Date Unknown,Null,Photographs
"Tiered Box with Figural Scenes, Flowers, and Birds",14th - 17th Century,China,Lacquer
Quail and Autumn Flowers,17th - 19th Century,Japan,Paintings
"Square Panel with Vegetal Scrollwork, Flowers and Fruits",Date Unknown,Null,Prints
"Textile Design with Horizontal Stips of Stylized Flowers Over a Background with Interlacing Branches with Small Rosettes, Flower Buds and Leaves",Date Unknown,Null,Drawings
Textile Design with a Floral Pattern with Bundles of Stylized Flowers and Flower Buds and a Large Leaf,Date Unknown,Null,Drawings
Flowers by the Sea,Date Unknown,Null,Paintings
"Scenic house with yellow and blue flowers, bakery card from the Picture Cards series (D63), issued by the Vienna Model Bakery",Date Unknown,Null,Prints
"Deep Plate with Eight-Lobed Rim and Decoration of Birds, Flowers and Insects",17th - 19th Century,Japan,Ceramics
Piece from a Kosode with Pattern of Scattered Snow Roundels (Yukiwa) Filled with Small Flowers,17th - 19th Century,Japan,Textiles
[Flowers Arranged in a Glass Vase],Date Unknown,France,Prints
Flowers in a Vase,Date Unknown,Null,Prints
"Basket of Flowers from the Book of Several Baskets of Flowers, Designed and Engraved by Baptiste Monnoyer (Livre de Plusieurs Corbeilles de Fleurs dessiné et gravé par Baptiste Monnoyer)",Date Unknown,Null,Prints
Flowers,Date Unknown,Null,Paintings
"Landscapes, Flowers and Birds",14th - 17th Century,China,Paintings
Flowers,Date Unknown,Null,Paintings
Little Girl with Flowers (Amelia Palmer),Date Unknown,Null,Not Assigned
Vase of Flowers,Date Unknown,Null,Paintings
Flowering Plant,Date Unknown,Null,Paintings
Landscapes and Flowers,17th - 20th Century,China,Paintings
Birds and Flowers of Autumn and Winter,17th - 19th Century,Japan,Paintings
"Tsujigahana Textile with Horizontal Stripes, Flowering Plants, Fans, Snowflakes, Clouds, and Bellflowers",16th - 17th Century,Japan,Textiles
Hollyhocks and Prince’s-Feather Flowers,17th - 19th Century,Japan,Paintings
Birds and Flowers of the Four Seasons,17th - 19th Century,Japan,Paintings
The Month of May: An Elegant Man Holding a Flower and Lute,Date Unknown,Null,Drawings
Writing Box with Design of Chinese-Style Flower Arrangement (Inside: Design of Geese),19th - 20th Century,Japan,Lacquer
Wild Flowers,Date Unknown,Null,Photographs
Design for Fantasy Branches of Flowers,Date Unknown,Null,Drawings
Flowers and Snail,Date Unknown,Null,Prints
Magnolia Flowers,Date Unknown,Null,Prints
Hotei Flowers,Date Unknown,Null,Prints
Grandmother's Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Design of Flowers,17th - 19th Century,Japan,Prints
"Flowering Plants, Cat and Three Kittens",Date Unknown,Null,Paintings
Vase with flowers,Date Unknown,Null,Woodwork
Mold (Square-Shaped with Flower),Date Unknown,Null,Sculpture
Boy Holding Flowers,Date Unknown,Null,Drawings
Design with Flowers,Date Unknown,Null,Drawings
Two Flowers,Date Unknown,Null,Prints
Flowers,17th - 20th Century,China,Paintings
Drunk with Flowers,17th - 19th Century,Japan,Prints
Yellow Basket of Flowers,Date Unknown,Null,Not Assigned
Bottle with flowers,17th - 20th Century,China,Ceramics
Flowers,Date Unknown,Null,Drawings
Dish with flowers,18th Century,China,Ceramics
Camellia Flowers,14th - 19th Century,China,Paintings
Dish with flowers,17th - 20th Century,China,Ceramics
Vase with bird and flowers,17th - 20th Century,China,Hardstone
Vase with flowers,17th - 20th Century,China,Ceramics
Vase with flowers,17th - 20th Century,China,Ceramics
Bowl with flowers,17th - 20th Century,China,Ceramics
Netsuke of Assorted Flowers,17th - 20th Century,Japan,Netsuke
Birds and Flowers,17th - 19th Century,Japan,Prints
"Birds, Insects and Flowers",17th - 20th Century,China,Paintings
Flowers (from Sketchbook),Date Unknown,Null,Not Assigned
Flowers (from Sketchbook),Date Unknown,Null,Not Assigned
Album Containing Twelve Paintings of Flowers,Date Unknown,Null,Paintings
Initial letter I with flowers,Date Unknown,Null,Prints
Vase of Flowers,Date Unknown,Null,Drawings
Flowering Plant,Date Unknown,Null,Paintings
Studies of Flowers,Date Unknown,Null,Drawings
Flowers and Bamboo,17th - 19th Century,Japan,Paintings
Leaves and Flowers,Date Unknown,Null,Drawings
Flowers of May,Date Unknown,Null,Prints
White Flowers in a Vase,Date Unknown,France,Drawings
Flowers in a Vase,Date Unknown,France,Drawings
Basket of Flowers,Date Unknown,Null,Prints
Stylized Flowers,Date Unknown,Null,Prints
Stylized Flowers,Date Unknown,Null,Prints
Ornamental Motif and Stylized Flowers,Date Unknown,Null,Prints
Ornamental Motif and Stylized Flowers,Date Unknown,Null,Prints
Ornamental Motif and Stylized Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Ornamental Motif and Stylized Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Flowers in a Garden,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Basket of Flowers,Date Unknown,Null,Prints
Birds and Flowers,17th - 19th Century,Japan,Illustrated Books
Cherry Flowers,17th - 19th Century,Japan,Prints
Birds and Stylized Flowers,Date Unknown,Null,Prints
Stylized Flowers,Date Unknown,Null,Prints
Stylized Flowers,Date Unknown,Null,Prints
Stylized Flowers,Date Unknown,Null,Prints
Flowers and Dragonfly,Date Unknown,Null,Prints
Bush with Flowers,Date Unknown,Null,Prints
Woman holding flowers near a pond,Date Unknown,Null,Textiles
Bowl with Flowering Plants,Date Unknown,Iran,Ceramics
Fishes Swimming with Yellow Flowers,17th - 19th Century,Japan,Prints
Flowers on Grass,19th - 20th Century,Japan,Paintings
Flowers and Leaves,19th - 20th Century,Japan,Paintings
"Design for a Gold and Red-Gold Earring with Scrolling Motifs, Rosettes, Diamonds, a Black Pearl, and a Large Stylized Flower",Date Unknown,Null,Drawings
Noren with Design of Flowering Cherry Tree,19th - 20th Century,Japan,Textiles
Still Life with Flowers,Date Unknown,Null,Paintings
Etruscan Vase with Flowers,Date Unknown,Null,Paintings
"Drawing with Flowers, Butterflies, and Insects",Date Unknown,Iran,Codices
Velvet Panel with Rows of Flowers,Date Unknown,India,Textiles
Scroll Cover with Birds and Flowers,10th - 13th Century,China,Textiles
"Plan of part of Kew Gardens, including the Orangerie, Temple of the Sun, Exotic Garden, Flower Garden, Menagerie, etc.",Date Unknown,Null,Drawings
Insects and Flowers,Date Unknown,Null,Paintings
[Flowers Arranged in a Glass Vase],Date Unknown,France,Books
"Flowers in a Silver Caster, Fruit in the Foreground",Date Unknown,Null,Drawings
Le Parterre de Nancy ou Jardin de Nancy (The Flower Bed of Nancy or the Garden of Nancy),Date Unknown,Null,Prints
Bowl in the form of a lotus flower,17th - 20th Century,China,Jade
Water coupe in the form of a flower,17th - 20th Century,China,Jade
"Summer Kimono with Design of Plovers, Waves, Chinese Bellflowers, Pinks, Pines, Carriages, and Fences",20th Century,Japan,Textiles
Flowers of Spring and Autumn,17th - 19th Century,Japan,Paintings
Upright Baskets of Flowers,Date Unknown,France,Books
Case (Inrō) with Design of Monkey on Background of Flowers (obverse); Flowering Scrolls (reverse),17th - 19th Century,Japan,Inrō
Le Parterre de Nancy ou Jardin de Nancy (The Flower Bed of Nancy or the Garden of Nancy),Date Unknown,Null,Prints
A female figure seated beside a flower vase,Date Unknown,Null,Prints
The Principal Entrance to the Flower Garden and Mr. Kent's Garden Seat at Kew,Date Unknown,Null,Drawings
"""No Flower that Blows is Like this Rose""",Date Unknown,Null,Prints
Bank of wildflowers,Date Unknown,Null,Drawings
"Spring Rain Collection (Harusame shū), vol. 3: Marsh-tits and Crab Apple Flowers",17th - 19th Century,Japan,Prints
"Spring Rain Collection (Harusame shū), vol. 3: Mountain Dove and Peach Flowers",17th - 19th Century,Japan,Prints
"Cabinet of Drawers with Birds, Flowers, and Court Carriage",16th - 17th Century,Japan,Lacquer
"A Columbine or Granny's Bonnet (Aquilegia), with Additional Studies of Flowers",Date Unknown,Null,Drawings
Birds and Flowers,17th - 19th Century,Japan,Paintings
"Bottle with Rock, Flowers, and Birds",17th - 19th Century,Japan,Ceramics
Flowers for the Virgin,Date Unknown,Null,Prints
Vase of Flowers,Date Unknown,Null,Prints
"Four Red Flowers May 17, 1999",Date Unknown,Null,Prints
Fading Flowers,Date Unknown,Null,Drawings
Advertising Card for a Flower Holder,Date Unknown,Null,Prints
"Three putti, with a female figure holding a flower in the lunette below, from 'Di Tutti gli Affresco del Correggio in Parma'",Date Unknown,Null,Prints
The Royal Guide to Wax Flower Modelling,Date Unknown,England,Books
"[Flower Shop, Mobile, Alabama]",Date Unknown,Null,Negatives
"[Flower Shop, Mobile, Alabama]",Date Unknown,Null,Negatives
"[Flower Shop, Mobile, Alabama]",Date Unknown,Null,Negatives
Study of a Flowering Thistle,Date Unknown,Germany,Drawings
Large Boston Public Garden Sketchbook: Flowers and butterflies,Date Unknown,Null,Drawings
Vase of Flowers on a Table,Date Unknown,Null,Drawings
Design for Covered Glass Goblet Decorated with Flowers,Date Unknown,Null,Drawings
"Textile with Eagle, Rayed Sun, and Flowers",Date Unknown,Null,Textiles
Portrait of a girl's head with flowers in her hair,Date Unknown,Null,Prints
Pair of Mandarin Ducks and Iris Flowers,17th - 19th Century,Japan,Prints
Case (Inrō) with Design of Flowering Plants,17th - 19th Century,Japan,Inrō
The Common Marigold and The Rajoman Flowers,Date Unknown,Null,Prints
Plum Branches with Flowers and a Rolled Mat,Date Unknown,Null,Prints
Pair of Mandarin Ducks and Iris Flowers,17th - 19th Century,Japan,Prints
"Violets, Primroses and Other Spring Flowers",17th - 19th Century,Japan,Prints
Cherry Blossoms and Yamabuki Flowers,17th - 19th Century,Japan,Prints
"Camellia Flowers, a Netsuke and a Seal",Date Unknown,Null,Prints
Stencil with Pattern of Open Flowers on Water,Date Unknown,Null,Stencils
Piece from a Kosode with Flowers,17th - 19th Century,Japan,Textiles
Case (Inrō) with Design of Flowers and Grasses,17th - 20th Century,Japan,Inrō
Large-flowered Flat Bill and Sparrow,17th - 19th Century,Japan,Prints
Eagle on a Rock; Flowering Azaleas,17th - 19th Century,Japan,Prints
Ike Bana (Flower Arrangement) in the Ike-no-bo Style,17th - 19th Century,Japan,Prints
Case (Inrō) with Design of Flowering Carnations,Date Unknown,Null,Inrō
Calabash Flowers and Beetle,17th - 19th Century,Japan,Paintings
Still Life with a Fish and a Bouquet of Flowers,Date Unknown,Null,Paintings
Design of Morning–glory and Other Flowers,17th - 19th Century,Japan,Prints
Bingata Panel with Hō-ō Birds and Flowers,Date Unknown,Null,Textiles
Saucer with women and flowers,17th - 20th Century,China,Ceramics
Flowering Plant after Chen Hongshou,Date Unknown,Null,Paintings
Camellia Flowers (left); People Watching a Cockfight (right),17th - 19th Century,Japan,Prints
Designs of Writing-Paper with Flowers,17th - 19th Century,Japan,Prints
"Sweet Fishes of the Nagara River, with Baskets and Flowers",17th - 19th Century,Japan,Prints
Rocaille cartouche with flowers,Date Unknown,Null,Textiles
Rocaille cartouche with flowers,Date Unknown,Null,Textiles
Rocaille cartouche with flowers,Date Unknown,Null,Textiles
Rocaille cartouche with flowers,Date Unknown,Null,Textiles
Putti with a basket of flowers,Date Unknown,Null,Paintings
Vase of Flowers,Date Unknown,Null,Paintings
[Flowers],Date Unknown,Null,Transparencies
Rock and Autumn Flowers,17th - 19th Century,Japan,Paintings
"Picture Book: Flowers Yet to be Picked, Vol. 1",17th - 19th Century,Japan,Illustrated Books
Hidden silhouette of Napoleon visiting his tomb; vase of flowers,Date Unknown,Null,Prints
Portrait of a Girl with Flowers,Date Unknown,Null,Not Assigned
Flowers of the Field,Date Unknown,Null,Not Assigned
"Elegy (Elegia), head of a girl with flowers",Date Unknown,Null,Prints
Flowers: Roses and Lilacs,Date Unknown,France,Drawings
Square vase with flowers of four seasons,17th - 20th Century,China,Ceramics
Square vase with birds and flowers,17th - 20th Century,China,Ceramics
Plate with two crabs and flowers,18th Century,China,Ceramics
Plate with flowers,18th Century,China,Ceramics
Plate with flowers,17th Century,China,Ceramics
Flowers (Fleurs),Date Unknown,Null,Prints
Firepot with Kirin (Mythical Chimera) amid Flowers,17th - 19th Century,Japan,Ceramics
Study of Three Flowers,Date Unknown,Germany,Drawings
Cup with women and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Meiping vase with birds and flowers,17th - 20th Century,China,Ceramics
Cup with Bird-and-Flower Design and Basketry Exterior,17th - 19th Century,Japan,Ceramics
Vase with Flowers of the Four Seasons,17th - 20th Century,China,Ceramics
Design for Tall Bottle with Leaves and Jeweled Flowers,Date Unknown,Null,Drawings
Flowers Dancing,Date Unknown,Null,Drawings
Saucer with birds and flowers,17th - 20th Century,China,Ceramics
Jar with flowers,17th - 20th Century,China,Ceramics
Covered jar with birds and flowers,17th - 20th Century,China,Ceramics
Dish with Flowers and Butterfly,18th Century,China,Enamels
Dish with phoenixes among flowers,14th - 17th Century,China,Lacquer
Covered square bottle with flowers,18th Century,China,Ceramics
Yamabuki Flowers (kerria japonica),17th - 19th Century,Japan,Prints
Birds and Flowers,14th - 19th Century,China,Paintings
Cup in form of flowers and leafs,17th Century,China,Ceramics
Branch of Tree with Flowers and Bird of Waxwing Family,17th - 20th Century,China,Paintings
Flowering Plum and Bamboo,14th - 19th Century,China,Paintings
Flowers with Birds,14th - 19th Century,China,Paintings
Flowers and Bees,17th - 20th Century,China,Paintings
Still Life with Flowers and Rocks,14th - 19th Century,China,Paintings
Vase with flowers,17th - 20th Century,China,Ceramics
Covered jar with flowers,18th Century,China,Ceramics
Vase with birds and flowers,17th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Covered jar with birds and flowers,17th - 20th Century,China,Ceramics
Bowl with flowers,17th - 20th Century,China,Ceramics
Square vase with archaisitic vessels and flowers,17th Century,China,Ceramics
The Hat Pinned with Flowers (Le Chapeau Épinglé),Date Unknown,Null,Prints
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Covered jar with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Dish with flowers,17th Century,China,Ceramics
Dish with flowers,18th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with butterflies and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with flowers,17th Century,China,Ceramics
Fishbowl with birds and flowers,Date Unknown,Null,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with butterflies and flowers,18th Century,China,Ceramics
Vase with phoenixes amid flowers,17th Century,China,Ceramics
Dish with flowers,18th Century,China,Ceramics
Bowl with immortals and flowers,17th Century,China,Ceramics
Vase with flowers and poem,17th Century,China,Ceramics
Meiping vase with flowers,17th - 20th Century,China,Ceramics
Birds on a Flowering Branch,19th - 20th Century,Japan,Paintings
Books of Flowers and a Writing Brush,Date Unknown,Null,Prints
Bird-and-Flower Paintings,17th - 19th Century,Japan,Prints
Pipe Case with Design of Flowers and Butterflies,17th - 19th Century,Japan,Lacquer
Basket of flowers,Date Unknown,Null,Woodwork
Flowers in a Blue Vase,Date Unknown,Null,Paintings
"Textile Design with Flowers in White, Yellow and Red",Date Unknown,Null,Drawings
Hexagonal vase with Rococo-style flowers,18th Century,China,Ceramics
Vase of Flowers with Two Birds,Date Unknown,Null,Prints
Flowering Peach and Rock,Date Unknown,Null,Paintings
Red Flowers and Fruit,Date Unknown,Null,Paintings
Anemones on a Flowered Tablecloth,Date Unknown,Null,Paintings
Flowers and Fruit,Date Unknown,Null,Paintings
Still Life with Fruit and  Flowers,Date Unknown,Null,Drawings
Vase with Flowers (Strelitzia),Date Unknown,Null,Paintings
“Gletscherblume” (“Glacier Flower”),Date Unknown,Null,Textiles
Summer Flowers,17th - 20th Century,China,Paintings
Fan with Flowers and Butterflies,17th - 20th Century,China,Fans
Bottle with Abstract Flowers and Leaves,13th - 14th Century,China,Ceramics
Birds and Flowers,19th - 20th Century,Japan,Paintings
Case (Inrō) with Design of Autumn Flowers,17th - 19th Century,Japan,Inrō
Flowers in a silver vase,Date Unknown,Null,Textiles
Autumn Flowers,17th - 19th Century,Japan,Paintings
Acanthus Leaf and Flowering Vine Ornament,Date Unknown,Null,Drawings
Vase decorated with flowers,17th Century,China,Ceramics
"Blue Flowers May 19, 1999",Date Unknown,Null,Prints
Six Red Flowers Oct 28 1999,Date Unknown,Null,Prints
Black Flowers Sept 26 1999,Date Unknown,Null,Prints
Folding Fan with Representation of Birds and Flowers,Date Unknown,Null,Fans
"Folding Fan with Ladies in a Garden, flanked by Flowers",Date Unknown,Null,Fans
Double-gourd form ewer with birds and flowers,14th - 17th Century,China,Cloisonné
Bird on a flowering branch,14th - 17th Century,China,Paintings
Vase decorated with flowers,17th Century,China,Ceramics
How to Draw Plants and Flowers Simply (Sōka ryakugashiki) 草花略画式,17th - 19th Century,Japan,Illustrated Books
Decorative Design with Flowers (Schmuckkarte mit Blumen),Date Unknown,Null,Prints
Girl with a Bouquet of Flowers,Date Unknown,Null,Prints
Girl with a Bouquet of Flowers,Date Unknown,Null,Prints
Girl with Flowers and a Bird,Date Unknown,Null,Prints
Girl with a basket of flowers,Date Unknown,Null,Ceramics
"Thickets with Large Leaves, Flowers, Animals,...",Date Unknown,Null,Textiles
Flowering Plants and Rosebushes,Date Unknown,Null,Textiles
Still Life: Flowers in Vase,Date Unknown,Null,Drawings
Tumbler of Flowers,Date Unknown,Null,Drawings
Picture Album of Birds and Flowers (Kachō gafu) 華鳥画譜,19th - 20th Century,Japan,Illustrated Books
Vase of Flowers,Date Unknown,Null,Paintings
Vase with Flowers and Birds,17th Century,China,Ceramics
Girl in a Landscape with a Basket of Flowers,Date Unknown,Null,Prints
Vase decorated with bird on flowering plum,17th Century,China,Ceramics
Temple Vase with Dragons amid Flowers,16th Century,China,Ceramics
Pot with Flowering Plant,19th Century,China,Jade
Pot with Flowering Plant,19th Century,China,Ivories and Bone
Flowers and Birds,19th - 20th Century,Japan,Paintings
Flowers (from McGuire Scrapbook),Date Unknown,Null,Not Assigned
"Flowers (pink and white) and Leaves, Clappers",19th - 20th Century,Japan,Paintings
Jar with flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th Century,China,Ceramics
Vase with flowers,17th Century,China,Ceramics
Vase with birds and flowers,17th Century,China,Ceramics
Covered jar with flowers,17th Century,China,Ceramics
Covered jar with flowers,17th Century,China,Ceramics
View of Flowers and Trees along a River Bank,Date Unknown,Null,Prints
Rhythm of Flowers,Date Unknown,Null,Paintings
Vase of Flowers,Date Unknown,Null,Paintings
[Flowers in a Bowl],Date Unknown,Null,Transparencies
"Cat and Flowers, from ""Les Chats""",Date Unknown,Null,Prints
Snuff Bottle with Birds and Flowers,17th - 20th Century,China,Snuff Bottles
Covered jar with baskets of flowers,18th Century,China,Ceramics
Vase with birds and flowers,17th Century,China,Ceramics
Plate with Vase and Flowers,17th - 19th Century,Japan,Ceramics
Covered jar with baskets of flowers,18th Century,China,Ceramics
Plate with flowers,17th - 20th Century,China,Ceramics
Plate with flowers,17th - 20th Century,China,Ceramics
Vase with flowers,14th - 17th Century,China,Ceramics
Meiping vase with flowers,14th - 17th Century,China,Ceramics
Flowers,Date Unknown,Null,Paintings
"Spring, a young girl within a wreath of flowers in each hand and another on her head, within a cartouche made of flowers, from 'The four Seasons' (Les quatre Saisons)",Date Unknown,Null,Prints
"Valentine - Mechanical -- armoire, family,  flowers",Date Unknown,Null,Ephemera
Piece with pheasants and exotic flowers,Date Unknown,Null,Textiles
Furniture plaque carved in relief with papyrus buds and flowers,10th - 7th Century BCE,Iraq,Not Assigned
"Chest decorated with phoenixes, colored roundels (taegeuk), and flowers",14th - 20th Century,Korea,Furniture
Bush Monkey-flower (Diplacus longiflorus),Date Unknown,Null,Drawings
Pink Monkey-flower (Mimulus Lewisii),Date Unknown,Null,Drawings
Western Wall-flower (Erysimum asperum),Date Unknown,Null,Drawings
Field Flowers,Date Unknown,Null,Prints
Valentine - Mechanical - flowers reveal happy messges,Date Unknown,Null,Ephemera
"Valentine - Mechanical, flowers with hidden messages, sachet",Date Unknown,Null,Ephemera
Seated Young Woman with a Bouquet of Flowers,Date Unknown,Null,Prints
Landscape – Fruit and Flowers,Date Unknown,Null,Prints
"Plate 11: a cartouche with fruits, flowers, and leaves at top, a mask of a faun in profile to either side with a festoon of fruits and flowers in each of their mouths, from 'Twelve cartouches' (Recueil de douze cartouches)",Date Unknown,Null,Prints
[Two 35mm Film Frames: Vendor with Flowers in Baby Carriage on Sidewalk],Date Unknown,Null,Negatives
[Two 35mm Film Frames: Vendor with Flowers in Baby Carriage on Sidewalk],Date Unknown,Null,Negatives
[Two 35mm Film Frames: Vendor with Flowers in Baby Carriage on Sidewalk],Date Unknown,Null,Negatives
[Two 35mm Film Frames: Vendor with Flowers in Baby Carriage on Sidewalk],Date Unknown,Null,Negatives
"Actress holding bouquet of flowers, from the Actresses series (N668)",Date Unknown,Null,Photographs
"Design for a Firescreen with a Table with a Vase of Flowers, Books, and Teapot",Date Unknown,Null,Drawings
A House with Flowering Trees along the Amalfi Coast of Italy,Date Unknown,Null,Paintings
[Window Display: Vase of Flowers and Loaf of Bread],Date Unknown,Null,Photographs
Case (Inrō) with Design of Pheasant on Rocks beside Flowering Azalea,17th - 19th Century,Japan,Inrō
"Case (Inrō) with Design of Rooster, Hen and Chicks beside Flowering Chrysanthemums",17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Flowering Chrysanthemums with Brocade Borders,17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Stylized Flowers and Scrolls,Date Unknown,Null,Inrō
Textile fragment with pattern of Chinese boys on flowering branches,17th - 19th Century,Japan,Textiles
Case (Inrō) with Design of a Flowering Cherry Tree,17th - 20th Century,Japan,Inrō
Case (Inrō) with Design of Two Horses Beneath Flowering Cherry Tree,17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Moth and Butterflies beside Flowering Mustard Plant,Date Unknown,Null,Inrō
"Case (Inrō) with Design of Flowering Hagi, Chrysanthemum and Autumn Grasses",17th - 19th Century,Japan,Inrō
"Case (Inrō) with Design of Pavilion on Rocks above Waves, with Flowering Plum Trees",17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Hibiscus and Autumn Flowers beneath Clouds,17th - 19th Century,Japan,Inrō
Case (Inrō) with Flowering Cherry Tree (obverse); Parrot in Ornamental Swing (reverse),17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Flowering Morning Glory,17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Butterflies in Flight above Flowering Clematis,Date Unknown,Null,Inrō
Case (Inrō) with Design of Hō-ō Bird in Flight above Flowering Kiri Branches,17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Flowering Plants with Dragonfly and Insects,19th - 20th Century,Japan,Inrō
Case (Inrō) with Design of Crows on Bridge beside Autumn Flowers,17th - 20th Century,Japan,Inrō
"Square Export Shawl Embroidered with Four Scenes, Figures, Pavilions, Flowers and Birds",Date Unknown,Null,Textiles
Piece from a Kosode with Fence and Autumn Flowers,17th - 19th Century,Japan,Textiles
"Pieces from a Kosode with Flowers, Vines, and Garden Fence",17th - 19th Century,Japan,Textiles
Piece from a Summer Kosode (katabira) with Flowering Vine and Cypress Fence,17th - 19th Century,Japan,Textiles
"Piece from a Kosode with Flowers, Leaves, and Water",17th - 19th Century,Japan,Textiles
Pieces from a Kosode with Plum Blossoms and Other Flowers,17th - 19th Century,Japan,Textiles
Piece from a Kosode with Boats and Flowers,17th - 19th Century,Japan,Textiles
Case (Inrō) with Design of Flowering Weeping Cherry Branches,17th - 20th Century,Japan,Inrō
"Cormorant and Kerria Rose (Yamabuki), from Keinen kachō gafu (Keinen’s Flower-and-Bird Painting Manual)",Date Unknown,Null,Prints
"Two Birds and Crysanthemums, from Keinen kachō gafu (Keinen’s Flower-and-Bird Painting Manual)",Date Unknown,Null,Prints
Sutra Cover with Various Flowers and Leaves with Scrolling Stems,14th - 17th Century,China,Textiles
Case (Inrō) with Design of Young Pine Trees behind Flowering Plum Tree,17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Insects beside Flowering Autumn Grasses,17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Flowering Peach Branches with Trees and Clouds,17th - 20th Century,Japan,Inrō
Design for Organ Pipes Decorated with Flowers and Fleur-de-lys,Date Unknown,Null,Drawings
Quatrefoil Ornament with Yellow Flowers and Green Leaves,Date Unknown,Null,Drawings
"Cherry Blossoms and Irises, from the illustrated book Flowers of the Four Seasons",17th - 19th Century,Japan,Prints
A Woman and a Man Arranging Flowers for the Tsukimi (Moon Festival),17th - 19th Century,Japan,Prints
"[Flower Display on Street, Barcelona, Spain]",Date Unknown,Null,Photographs
